,precision,recall,f1-score,support
Angry,0.9166666666666666,1.0,0.9565217391304348,22.0
Happy,0.7142857142857143,0.5263157894736842,0.6060606060606061,19.0
Neutral,0.7037037037037037,0.95,0.8085106382978723,20.0
Sad,0.9333333333333333,0.7368421052631579,0.8235294117647058,19.0
accuracy,0.8125,0.8125,0.8125,0.8125
macro avg,0.8169973544973546,0.8032894736842106,0.7986555988134048,80.0
weighted avg,0.8193187830687829,0.8125,0.8046987670688491,80.0
