,precision,recall,f1-score,support
Angry,0.9565217391304348,1.0,0.9777777777777777,22.0
Happy,1.0,0.42105263157894735,0.5925925925925926,19.0
Neutral,0.6818181818181818,0.75,0.7142857142857143,20.0
Sad,0.6666666666666666,0.9473684210526315,0.782608695652174,19.0
accuracy,0.7875,0.7875,0.7875,0.7875
macro avg,0.8262516469038208,0.7796052631578947,0.7668161950770647,80.0
weighted avg,0.8293313570487483,0.7875,0.7740706234184496,80.0
